Name,Brand,Collaborazione,Copertina,Copy,Data di pubblicazione,Data di registrazione,Formato,Reference,Set,Social,Soggetto,Stato,Tipologia contenuto
LYNUP: 3 cose che ti faranno innamorare di Lynup,Lynup,,"3 motivi per scegliere Lynup ","✅ Semplicità
✅ Logica scientifica
✅Costanza

Ecco perché Lynup è il giusto alleato della tua salute ossea 💜",04/08/2025,,Reel,,,"Facebook, Instagram, TikTok",Giulia,🗓️ Programmato,Differenziazione
LYNUP: kit di salute per l’estate,Lynup,,Il tuo kit di salute per l’estate,"Sei sicura di aver preso tutto quello che serve per affrontare al meglio la tua estate? 😎
Spesso ci ricordiamo di proteggere la nostra pelle e i nostri capelli, ma ci dimentichiamo delle ossa. 

Perciò ecco la tua checklist per la borsa mare:
✅ crema solare
✅ olio e maschera per i capelli
✅ occhiali da sole
✅ telo mare
✅ LYNUP 

1 capsula al giorno e proteggi le tue ossa, anche in estate! ☀️",21/07/2025,,Reel,,,"Facebook, Instagram, TikTok",Giulia,✅ Pubblicato,Differenziazione
NEOGELA: 3 consigli di integrazione di collagene per la tua estate,Neogela,,3 consigli per integrare il collagene in estate,"Stai pensando di rimandare l’assunzione di collagene a settembre? Non farlo!
Ecco 3 consigli per integrare Neogela al meglio, anche nei mesi caldi 😎",25/07/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Giulia,✅ Pubblicato,Consigli
NEOGELA: giornata internazionale del bacio - qualcuno bacia Neogela,Neogela,,,,06/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,🏝️ Grafica da preparare,
"NEOGELA: carosello dosaggio collagene ",Neogela,,-,Sai quanto collagene devi assumere al giorno? Scorri e trova il dosaggio adatto a te 😉,11/07/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Differenziazione
NEOGELA: PROMO,Neogela,,,,16/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: PROMO,Neogela,,,,15/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: domani parte la promo estiva,Lynup,,,,15/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: Scarica contenuto informativo / Fai questo quiz (per Lead Generation Pre Promo estiva),Lynup,,,,,,Reel,,Saletta,"Facebook, Instagram, TikTok",Giulia,✅ Pubblicato,ADS
"LYNUP: vitamina D per salvare le ossa in menopausa, è sufficiente?",Lynup,,La vitamina D non è sufficiente,"Ti hanno prescritto la vitamina D? Non è così che salverai le tue ossa, perché da sola non è sufficiente. ❌

Per mantenere il tuo scheletro in salute serve una combinazione di vitamine e minerali da abbinare alla vitamina D: scopri quali in questo video e segui la pagina per altri consigli 💜",21/08/2025,,Reel,,,"Facebook, Instagram, TikTok",Giulia,✅ Pubblicato,Informativo
LYNUP: se non vedi il numero,Lynup,,schermata,Mi sa che è ora di fare qualcosa per la tua salute ossea 😉,25/08/2025,,Reel,https://www.instagram.com/p/Cn7gXreshE8/?igsh=MW1zcjQ1bHppamc3YQ%3D%3D,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
NEOGELA: Presentazione progetto “Alla tua salute ci pensa Neogela” - cerchiamo candidati,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Giulia,💻 Da montare,ADS
NEOGELA: Quanto conta la composizione aminoacidica,Neogela,,,,,,Reel,,Scrivania,"Facebook, Instagram, TikTok, Youtube",Giulia,💻 Da montare,Differenziazione
NEOGELA: il magazzino si riempie,Neogela,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Team,✍🏻 Script da produrre,Trend
LYNUP: sono scarica e poi prendo Lynup e il mondo diventa a colori,Lynup,,Schermata “il mio integratore per ossa e articolazioni più forti”,Basta 1 capsula per ritrovare la carica di cui le mie ossa hanno bisogno 💪,18/08/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
LYNUP: 3 abitudini per prevenire l’osteoporosi,Lynup,,3 abitudini per prevenire l’osteoporosi,"Queste 3 abitudini ti aiuteranno a prevenire la fragilità ossea
✅ Alimentazione ricca e varia
✅ Attività fisica costante con esercizi resistenza e carico
❌ No a fumo e alcol

Forse non lo sapevi ma anche le ossa, come tutti gli altri tessuti, invecchiano. Invecchiare per le ossa vuol dire perdere materia e diventare più fragili, con il rischio di fratturarsi più facilmente. 

Ecco perché adottare dei comportamenti preventivi sin dalla giovane età è un’ottima pratica per evitare futuri problemi di osteoporosi. 

E tu? Hai già messo in pratica questi consigli? Faccelo sapere nei commenti 💬",18/09/2025,,Reel,,Scrivania,"Facebook, Instagram, TikTok",Giulia,✅ Pubblicato,Consigli
NEOGELA: bambino che piange e non riesce a spiegare,Neogela,,,,,,Reel,https://www.youtube.com/shorts/QtuT8zwgVfQ,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
"NEOGELA: recensione ",Neogela,,,,25/06/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: avviso diretta,Neogela,,,,03/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: avviso diretta,Neogela,,,,30/06/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: avviso diretta (1),Neogela,,,,02/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: gioco del tris,Lynup,,screen schermata video con frase,Per vincere basta mettere in campo i giusti nutrienti ✅,30/07/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
LYNUP: messaggio nel sacchetto,Lynup,,schermata “Perché iniziare oggi”,"Le tue ossa potrebbero essere in difficoltà senza che tu lo sappia. 

➡️ Se sei in menopausa
➡️ Hai uno stile di vita sedentario 
➡️ La tua dieta non è equilibrata
➡️ Hai avuto casi di osteoporosi in famiglia
➡️ Sei in gravidanza o allattamento

Le tue ossa hanno bisogno delle giuste vitamine e minerali: con 1 capsula di Lynup al giorno puoi aiutarle in modo semplice ed essenziale. 💜",06/08/2025,,Reel,,,"Facebook, Instagram, TikTok",,🗓️ Programmato,Trend
LYNUP: prendi le capsule (da pubblicare a mano con adesivo),Lynup,,Catture le capsule,Usa le manine e prendine più che puoi 👐,09/07/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
NEOGELA: premi per comporre la scatola più velocemente,Neogela,,Aiutaci a preparare la tua scatola,Abbiamo bisogno di te 😄,07/07/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
"NEOGELA: in     ",Neogela,,,"Conserva Neogela nella tua dispensa: in un luogo asciutto e lontano da fonti dirette di calore. Non è necessario metterlo in frigo, vicino al caffè andrà benissimo. 
Una volta aperta la confezione, consuma il contenuto entro 12 mesi. ",11/08/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Consigli
LYNUP: scorri per riempire la capsula di tutti i nutrienti essenziali per le tue ossa,Lynup,,,scorri per riempire la capsula e scopri tutti i nutrienti essenziali per le tue ossa🦴,11/08/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Differenziazione
"NEOGELA: Intervista partecipante progetto ",Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💡 Idea,Intervista
NEOGELA: intervista cliente Neogela,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💡 Idea,Intervista
"NEOGELA: 4 prodotti Neogela ",Neogela,,,,10/11/2025,,,https://www.instagram.com/p/DJGvo6XgwuS/,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,Trend
NEOGELA: 0 problemi,Neogela,,,,,,Reel,https://www.instagram.com/p/DK-HBbnRD1X/,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
LYNUP: metti le dita qui,Lynup,,,,,,Reel,https://www.instagram.com/p/DEm6pwGy2Nf/,,"Facebook, Instagram, TikTok",,💡 Idea,Trend
NEOGELA: la coppia perfetta,Neogela,,schermata completa con le scritte,"Non c’è accoppiata migliore per la salute delle tue ossa 😉
Scopri la promo attiva online fino al 28 ottobre (link in bio 🔥)",22/10/2025,15/09/2025,Reel,https://www.instagram.com/p/DJOVnmSACg4/,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Trend
NEOGELA: prepariamo i pacchi,Neogela,,Prepariamo i vostri ordini,Vi siete mai chiesti cosa accade dietro le quinte una volta inviato il vostro ordine Neogela? 👀,15/09/2025,,Reel,https://www.instagram.com/p/DIxKdWBtoVb/,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
LYNUP: Justin Bieber,Lynup,,,,,,Reel,https://www.instagram.com/p/DLKx7EmxM-g/,,"Facebook, Instagram, TikTok",,💡 Idea,Trend
LYNUP: buco nel foglio (collegato a promo),Lynup,,"Promo per il mese dell’Osteoporosi 
-20% + spedizione gratuita","Celebriamo il mese dell’Osteoporosi con un’offerta speciale: Lynup è ulteriormente scontato del 20% e la spedizione è gratuita! 🤩

Comincia oggi a proteggere le tue ossa: corri sul sito e scopri la promo 👉 www.mylynup.com",08/10/2025,15/09/2025,Reel,https://www.instagram.com/p/DEc6eGYCFRG/,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
LYNUP: emoticon,Lynup,,"Perché scegliere Lynup ","✅ Ti aiuta a integrare i micronutrienti essenziali per le tue ossa
✅ Supporta il tuo metabolismo osseo completando la tua dieta
✅ Riduce il rischio di fragilità ossea e problemi articolari

Lynup è naturale e contiene solo ingredienti di origine vegetale. 

Basta un semplice gesto quotidiano per proteggere le tue ossa 💜",08/09/2025,,Reel,https://www.instagram.com/p/DJQ3gmgslrq/,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
LYNUP: jackpot,Lynup,,,,,,Reel,https://www.instagram.com/p/DGiL4KoSkQs/,,"Facebook, Instagram, TikTok",,💡 Idea,Trend
LYNUP: barattolo stappato,Lynup,,,,,,Reel,https://www.instagram.com/p/DIbsZybsV7m/,,"Facebook, Instagram, TikTok",,💡 Idea,Trend
"LYNUP: la tua giornata per ossa forti ",Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Consigli
LYNUP: 5 falsi miti sulla salute ossea,Lynup,,5 falsi miti sulla salute ossea,"Ecco 5 falsi miti sulla salute ossea 🦴

❌ Più calcio assumi, più saranno forti le tue ossa - Non è solo una questione di calcio, assumere tanto calcio non serve a nulla se poi questo non viene assorbito correttamente e non si fissa nella ossa. È una questione di equilibrio tra i giusti micronutrienti. 
❌ Basta la vitamina D per salvare le tue ossa - La vitamina D aiuta ad assorbire il calcio, ma se non si combina l’azione della vitamina K2 che aiuta a fissarlo nella ossa potrebbe andare disperso. Inoltre è importante nutrire anche la parte interna dell’osso con la giusta integrazione proteica!
❌ L’osteoporosi colpisce solo gli anziani - L’osteoporosi è collegata a diversi fattori: familiarità, assunzione di particolari farmaci, abitudini di vita scorrette… Anche soggetti giovani possono sviluppare fragilità ossea. 
❌ Se mangio bene, gli integratori non mi servono - Mangiare bene può non essere sufficiente se non si mangiano i giusti cibi e talvolta può essere difficile con la sola dieta soddisfare l’aumentato fabbisogno di nutrienti tipico dell’osteoporosi. Inoltre alcuni nutrienti non sono così facili da reperire nei cibi!
❌ Basta camminare per contrastare l’osteoporosi - La camminata è sicuramente una buona abitudine, ma ciò che più aiuta l’aumento della massa ossea è l’applicazione di carichi. Ovviamente adattati alla condizione della persona su consiglio di uno specialista. 

E tu? Conoscevi questi 5 falsi miti? 🤔",11/09/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Falso mito
LYNUP: falso mito sul calcio,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Falso mito
LYNUP: falso mito sulla vitamina D,Lynup,,Falso mito sulla vitamina D,"Vitamina D e hai salvato le tue ossa ❌
Ecco il primo grande falso mito su questa vitamina. 

Tutti sanno che la vitamina D fa bene alle ossa. 
Qualcuno conosce anche il suo ruolo specifico e sa che la vitamina D serve per assorbire il calcio. 

Pochissimi sanno però che questo non basta. 🤔
Non basta perché se il calcio non va poi a finire nel posto giusto, rischia di accumularsi dove non dovrebbe. 

Ecco perché un’integrazione completa che sia davvero utile alle tue ossa non dovrebbe prevedere solo la vitamina D. E tu lo sapevi? 

Scrivilo nei commenti 🗨️",23/10/2025,,Reel,,,"Facebook, Instagram, TikTok",Giulia,🗓️ Programmato,Falso mito
LYNUP: i sintomi più comuni della menopausa,Lynup,,,,,,Reel,,Scrivania,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Informativo
LYNUP: come posso accorgermi di avere l’osteoporosi?,Lynup,,Come scoprire l’osteoporosi in tempo,"“La malattia silenziosa”, così viene chiamata l’osteoporosi. 

La perdita di massa ossea non dà sintomi evidenti, fino a che non appaiono dolori cronici o ci si frattura in seguito a banali gesti quotidiani. 
È per questo che l’osteoporosi viene scoperta in moltissimi casi troppo tardi, quando lo stadio è già avanzato. 

La prevenzione è fondamentale: controllare la propria salute ossea con un esame specifico chiamato MOC, è fondamentale per accorgersi dell’osteoporosi prima che sia troppo tardi. 

Quando farla? 
➡️ Se sei in menopausa
➡️ Se hai casi osteoporosi in famiglia
➡️ Se hai malattie croniche e/o assumi farmaci come cortisonici o tiroidei
➡️ Se hai avuto una frattura inaspettata

E tu? Hai mai fatto la MOC? Chiedi al tuo medico se è il momento di farla!",09/10/2025,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok",Giulia,✅ Pubblicato,Domande dal blog
LYNUP: chi sono i soggetti a rischio fragilità ossea?,Lynup,,"Chi è più a rischio fragilità ossea? ","➡️ Donne in menopausa
➡️ Persone che hanno casi di osteoporosi in famiglia
➡️ Persone che assumono specifici farmaci per lunghi periodi

➡️ Ma anche giovani dopo i 30 anni con uno stile di vita scorretto

Ecco i soggetti più a rischio fragilità ossea. 
Se fai parte di una di queste categorie e vuoi sapere come proteggerti, segui la pagina 💜",14/08/2025,,Reel,,Scrivania,"Facebook, Instagram, TikTok",Giulia,✅ Pubblicato,Informativo
LYNUP: il ciclo di vita delle ossa,Lynup,,Il ciclo di vita delle ossa,"C’è un momento in cui le tue ossa formano tessuto a tutta velocità ma arriva anche la fase in cui questa formazione rallenta per lasciare spazio alla perdita di massa ossea. 

Adottare delle buone abitudini quotidiane e integrare i giusti nutrienti può aiutarti a rallentare questa perdita e preservare la tua salute ossea. 

E tu? Ti prendi cura delle tue ossa? Scrivilo nei commenti e segui il canale per non perderti i nostri consigli di salute 💜",04/09/2025,,Reel,,Scrivania,"Facebook, Instagram, TikTok",Giulia,✅ Pubblicato,Informativo
LYNUP: dove posso trovare il vostro prodotto,Lynup,,,,,29/08/2025,Reel,,Kallax,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Domande dal blog
LYNUP: domanda sul prodotto,Lynup,,"Quale tra i seguenti ingredienti aiuta a fissare il calcio nelle ossa? (potrebbe essere una rubrica “Chi vuol essere sano”)  ","Se segui la nostra pagina, saprai rispondere a questa domanda 😉
E se non hai saputo la risposta, è il momento di seguirci 😎",29/09/2025,15/09/2025,Reel,https://www.instagram.com/reel/DLXI-prp5fL/?id=3663436311624652747_9261751706&fbclid=IwY2xjawLUqABleHRuA2FlbQIxMQBicmlkETFPVTBneXl4MlFPNEtRM0c4AR4XhZLkR3lWCasS_-17AWyxCUM04vy9gCOVzSdUdLnyOdziTA1tFfzUlS5WZw_aem__454yZ5EImw7ntatcB2iVg,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
LYNUP: piramide di blocchi,Lynup,,,,,,Reel,https://www.instagram.com/reel/DFgjRwUO1qP/?id=3557998857360726671_64765967749&fbclid=IwY2xjawLUqEhleHRuA2FlbQIxMQBicmlkETFPVTBneXl4MlFPNEtRM0c4AR7u8cVzu1XXSKmVOT7isFgzkX8FkwtSSDfLXjU04jRhdO8N-CKpDGyrQjHiiw_aem_sM9svjXRvC6pWNWoojK_cQ,,"Facebook, Instagram, TikTok",,💡 Idea,Trend
LYNUP: chi siamo?,Lynup,,,,14/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
"Lynup: Il nostro prodotto ",Lynup,,,,20/08/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP : recensioni,Lynup,,,,29/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP : Domande frequeni,Lynup,,,,13/08/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: barattolo con caratteristiche e ingredienti,Lynup,,schermata completa,"Cos’è Lynup? 
La formula di vitamine e minerali essenziali per la tua salute ossea e articolare. 
✅ 100% naturale
✅ con ingredienti di origine vegetale
✅ senza additivi",19/08/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
NEOGELA: unboxing ASMR nuovo packaging e dimostrazione utilizzo prodotto,Neogela,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✍🏻 Script da produrre,ADS
"LYNUP: secondo falso mito sulla vitamina D ",Lynup,,,,,16/10/2025,Reel,,Saletta,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Falso mito
NEOGELA: CHI SIAMO,Neogela,,,,28/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: I NOSTRI PRODOTTI,Neogela,,,,04/08/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: DOMANDE FREQUENTI,Neogela,,,,20/08/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: CONSULENZA,Neogela,,,,27/08/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: RECENSIONI,Neogela,,,,13/08/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP:  Lynup può aiutarti se,Lynup,,-,Scorri e scopri se Lynup può aiutare anche le tue ossa 😉,15/09/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Differenziazione
NEOGELA: Reel 1 da video YouTube Osteoporosi Maschile,Neogela,,"Osteoporosi maschile (magari facciamo un format di copertina un po’ diverso per questi video estratti da quelli youtube, anche un format con copertina chiara)","L’osteoporosi maschile è una forma più rara ma non per questo da sottovalutare. 
Il Dottor Zeggio ci racconta quali sono i fattori che possono dare origine a questa patologia nell’uomo 🩺

👉 Video completo sul canale YouTube Neogela",05/08/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
NEOGELA: Reel 2 da video YouTube Osteoporosi Maschile,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dottore,💻 Da montare,Informativo
LYNUP: quali vitamine e minerali servono alle ossa?,Lynup,,schermata con la domanda iniziale,"Ecco le 5 vitamine e minerali che servono davvero alle tue ossa: 
Vitamina C
Vitamina K2
Calcio
Magnesio
Silicio

E le trovi tutte dentro Lynup 😉",13/10/2025,15/09/2025,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
LYNUP: ruota della fortuna,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Trend
LYNUP: telecomando,Lynup,,Accendi la tua salute ossea (con immagine telecomando sotto),Vuoi mantenere in salute le tue ossa e articolazioni? Scegli il canale (e l’integratore) giusto 👀,01/09/2025,,Reel,https://www.instagram.com/reel/DH-zjBaNjTg/?igsh=and1NDJqdnM4MWNq,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
"LYNUP: lunedì, martedì, mercoledì",Lynup,,schermata con prodotto e frase finale,Ormai è una routine quotidiana 😉,22/09/2025,,Reel,https://www.instagram.com/reel/DI8rTTiyZFk/?igsh=Z2QxMTVmaWtib3Nv,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
"LYNUP: 5 note telefono ",Lynup,,schermata completa,"Conosci già i benefici che può darti Lynup? 🧐
Ecco cosa puoi ottenere ogni giorno grazie al suo mix di vitamine e minerali 

✅ Favorisci il corretto metabolismo osseo
✅ Supporti ossa e articolazioni
✅ Completi la tua dieta
✅ Integri con un semplice gesto
✅ Non appesantisci l’organismo",27/10/2025,,Reel,https://www.instagram.com/reel/DHTcSQKS2RY/?igsh=MW9rZ3BtdHIxbHc3NQ==,,"Facebook, Instagram, TikTok",,🗓️ Programmato,Trend
LYNUP: crucipuzzle,Lynup,,,,17/11/2025,,Reel,,,"Facebook, Instagram, TikTok",,💻 Da montare,Trend
LYNUP: Bottiglietta,Lynup,,,,,,Reel,https://www.instagram.com/p/DG4uWPROKYS/,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
Messaggio magico,,,,,,,Reel,https://www.instagram.com/p/DIS36WPTEbd/,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
LYNUP: Scompare in ufficio - Promo Black Friday,Lynup,,,,28/11/2025,16/10/2025,Reel,https://www.instagram.com/p/DMPQ4czJ1gM/,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,Trend
LYNUP: errori alimentari più comuni in menopausa,Lynup,magi.silvana,Gli errori alimentari più comuni in menopausa,"Sei in menopausa? Non fare questi errori alimentari ❌

La Dott.ssa @magi.silvana, biologa nutrizionista, ci parla dei più frequenti errori alimentari in menopausa e delle ripercussioni che possono determinare non solo sul fisico, ma anche sull’umore!

Se ti riconosci in uno di questi comportamenti, segnati i consigli della dottoressa e segui la pagina 😉",02/10/2025,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok",Dott.ssa Silvana Magi - Nutrizionista,✅ Pubblicato,Intervista
LYNUP: come ridurre l’infiammazione in menopausa,Lynup,,,,13/11/2025,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok",Dott.ssa Silvana Magi - Nutrizionista,💻 Da montare,Consigli
LYNUP: esempio di pasto bilanciato e salutare per le ossa,Lynup,@magi.silvana,Pasto completo e bilanciato per le tue ossa,"Vuoi un esempio di pasto bilanciato e salutare per le tue ossa? 🥗

La Dottoressa @magi.silvana, biologa nutrizionista, ci insegna una ricetta gustosa e completa da inserire nella propria dieta per prendersi cura delle proprie ossa anche a tavola: 
➡️trancio di salmone al forno o legumi 
➡️ contorno di cime di rapa o rucola
➡️ una porzione di patate dolci o quinoa
➡️ semi di sesamo o parmigiano per condire
➡️ acqua con succo di limone o una mela a fine pasto

Salva il video e provala anche tu 😋",16/10/2025,29/08/2025,Reel,,Cucina,"Facebook, Instagram, TikTok",Dott.ssa Silvana Magi - Nutrizionista,✅ Pubblicato,Consigli
LYNUP: quanto calcio assumere ogni giorno e da quali fonti,Lynup,,,,,29/08/2025,Reel,,Cucina,"Facebook, Instagram, TikTok",Dott.ssa Silvana Magi - Nutrizionista,💻 Da montare,Informativo
LYNUP: 5 consigli alimentari per la menopausa,Lynup,,,,,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok",Dott.ssa Silvana Magi - Nutrizionista,💻 Da montare,Consigli
NEOGELA: il ruolo del cortisolo sulla salute ossea e alimenti che aiutano a regolare i suoi livelli,Neogela,,,,,29/08/2025,Reel,,Cucina,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💻 Da montare,Informativo
NEOGELA: che differenza c’è tra il collagene e le comuni proteine che assumiamo con la dieta,Neogela,,,,,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💻 Da montare,Informativo
NEOGELA: latticini in osteoporosi: sì o no?,Neogela,,,,19/11/2025,29/08/2025,Reel,,Cucina,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💻 Da montare,Domande dal blog
NEOGELA: il ruolo del nutrizionista nella gestione dell’osteoporosi,Neogela,magi.silvana,Osteoporosi: come può aiutarti il nutrizionista,"Hai idea di quante strategie alimentari possono aiutarti concretamente a combattere l’osteoporosi ogni giorno? 
È per questo che la figura del nutrizionista può fare la differenza in un percorso di trattamento completo aiutandoti a scegliere i giusti alimenti e non solo!

La Dottoressa @magi.silvana, Biologa nutrizionista, ci svela tutti i comportamenti che una figura specializzata può aiutarti ad affinare. 

E tu? Segui un piano alimentare ben costruito? 

Se non sai da dove partire, seguici 💙 
Parliamo di come migliorare la salute ossea naturalmente, giorno dopo giorno. ",06/10/2025,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,✅ Pubblicato,Informativo
NEOGELA: errori alimentari che possono portare all’osteoporosi,Neogela,,,,,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💻 Da montare,Informativo
NEOGELA: 5 abitudini alimentari sì o no,Neogela,,,,,29/08/2025,Reel,https://www.instagram.com/p/DGieBQvMpkU/,Saletta,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💻 Da montare,Informativo
LYNUP: video sensibilizzazione osteoporosi (da pubblicare ad Ottobre per la Giornata Mondiale dell’Osteoporosi),Lynup,,"Giornata Mondiale dell’Osteoporosi
Proteggi le tue ossa","È una malattia che non fa rumore. 
Fino a quando non avviene una frattura. 
E solo quando ci si frattura si scopre che l’osteoporosi era lì già da tempo. 

Eppure non è così che dovrebbe essere. Dovremmo sapere come proteggere le nostre ossa sin dalla giovane età. 🤝

✅ Alimentazione corretta, attività fisica adeguata e integrazione dei giusti nutrienti sono tutti comportamenti che possono aiutarti a prevenire e combattere la fragilità ossea. 

Controlli regolari con la MOC inoltre ti permettono di sapere regolarmente come stanno le tue ossa. 

E tu hai mai fatto una MOC? Ti prendi cura delle tue ossa ogni giorno? 🗨️
Ad Ottobre, mese dell’Osteoporosi e della prevenzione, potrebbe essere il momento giusto per cominciare 💪",20/10/2025,15/09/2025,Reel,,,"Facebook, Instagram, TikTok",Giulia,🗓️ Programmato,Informativo
NEOGELA: bustina che appare dallo schermo,Neogela,,,,,,Reel,https://www.tiktok.com/@musemotion.studio/video/7537584133795597586,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
