Name,Brand,Collaborazione,Copertina,Copy,Data di pubblicazione,Data di registrazione,Formato,Reference,Set,Social,Soggetto,Stato,Tipologia contenuto
NEOGELA: vediamo dove ci porta il vento,Neogela,,,,,,Reel,https://www.tiktok.com/@promowithbrandito/video/7468025446131567902,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
"NEOGELA: monday, tuesday, wednesday… ogni giorno con una bevanda diversa",Neogela,,,,03/11/2025,15/09/2025,Reel,https://www.tiktok.com/@davssxo/video/7511756709199744278,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,Trend
NEOGELA: preparo un cappuccino,Neogela,,,,,,Reel,https://www.tiktok.com/@littlecitycoffeemon/video/7520417419798596894,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
NEOGELA: polvere dal telefono,Neogela,,,,,,Reel,https://www.tiktok.com/@nododonuts/video/7368649193054866696,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
NEOGELA: doppia intervista Giulia e Dottore - come sono arrivati ad occuparsi di osteoporosi,Neogela,,"Perché ci occupiamo di osteoporosi da 15 anni
Giornata Mondiale dell’Osteoporosi 2025 ","Oggi celebriamo la Giornata Mondiale dell’Osteoporosi 🩺

Si stima che nel mondo oltre 200 milioni di persone soffrano di questa patologia, senza contare i casi mai diagnosticati. 
C’è ancora troppa poca informazione sull’osteoporosi e troppa confusione in chi si ritrova ad affrontarla. 

Il nostro medico referente, il Dott. Daniele Zeggio, e la nostra titolare Giulia illustrano i motivi che in oltre 15 anni ci hanno spinto a non arrenderci, prendendo a cuore questo tema e aiutando quante più persone possibile a diventare più consapevoli e migliorare la loro salute. 💪

Per noi, diffondere il sapere e condividere strumenti per il benessere è un dovere morale. 

Grazie a chi ci ha dato e continua ogni giorno a darci fiducia 💙",20/10/2025,15/09/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube","Dottore, Giulia",🗓️ Programmato,Aziendale
LYNUP: va assunto a cicli?,Lynup,,"Va assunto a cicli? ","Va assunto in modo continuativo o a cicli? 🤔
Ci avete fatto spesso questa domanda è la risposta è: dipende dalla condizione di salute che affronti. 

➡️ In caso di patologie osteoarticolari, si consigliano almeno 3 cicli da 80gg all’anno. O meglio ancora un’assunzione continuativa fino al controllo successivo per valutare i risultati. 

➡️ Se assumi Lynup come prevenzione, 2 cicli all’anno di 80 giorno sono sufficienti per mantenerti in buona salute.

E tu? Stai già assumendo Lynup? Da quanto tempo? 🗨️",06/10/2025,29/08/2025,Reel,,Kallax,"Facebook, Instagram, TikTok",Giulia,✅ Pubblicato,Domande dal blog
LYNUP: la quantità di ingredienti in una capsula è sufficiente?,Lynup,,,,,16/10/2025,Reel,,Saletta,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Domande dal blog
"LYNUP: seguo una terapia farmacologica per osteoporosi, posso prendere Lynup?",Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Domande dal blog
LYNUP: perché in menopausa si hanno dolori articolari,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Informativo
"LYNUP: dolori articolari, quando preoccuparsi?",Lynup,,,,24/11/2025,29/08/2025,Reel,,Scrivania,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Informativo
LYNUP: come ridurre il dolore articolare tipico della menopausa,Lynup,,,,,16/10/2025,Reel,,Saletta,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Consigli
LYNUP: quanto magnesio assumere in menopausa,Lynup,,,,03/11/2025,29/08/2025,Reel,,Scrivania,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Domande dal blog
LYNUP: da dove derivano gli ingredienti di Lynup,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Differenziazione
LYNUP: assumo già collagene e vitamina D: posso prendere Lynup?,Lynup,,,,,16/10/2025,Reel,,Saletta,"Facebook, Instagram, TikTok",Giulia,💻 Da montare,Domande dal blog
NEOGELA: quanto dura 1 barattolo di Neogela?,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: Che acqua bere in caso di osteoporosi? (IN COLLAB),Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💡 Idea,Consigli
NEOGELA: Colazione super per le tue ossa (IN COLLAB),Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💡 Idea,Consigli
NEOGELA: Cosa possono fare 5g di collagene al giorno assunti a partire dai 30 anni?,Neogela,,,,,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok, Youtube",Giulia,💻 Da montare,Informativo
NEOGELA: Come comportarsi a 20 anni per ossa forti in futuro (e tu fai queste cose),Neogela,,,,,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok, Youtube",Giulia,💻 Da montare,Consigli
NEOGELA: Rischi di una dieta principalmente a base di carboidrati (IN COLLAB),Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💡 Idea,Informativo
"NEOGELA: Come avere ossa giovani a 50 anni ",Neogela,,,,,29/08/2025,Reel,,Kallax,"Facebook, Instagram, TikTok, Youtube",Giulia,💻 Da montare,Consigli
NEOGELA: Attività fisica ottimale dopo i 50 (IN COLLAB),Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Pales - Fisioterapista,💡 Idea,Consigli
"NEOGELA: Errori più comuni di chi soffre di osteoporosi ",Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Informativo
NEOGELA: 3 buone abitudini quotidiane per chi soffre di osteoporosi (e tu fai queste cose),Neogela,,3 abitudini che possono salvare le tue ossa,"Ecco 3 abitudini che dovresti adottare se soffri di osteoporosi (o non vuoi soffrirne in futuro!) e vuoi proteggere le tue ossa: 

1. Fai attività fisica regolare di tipo aerobico e/o con pesi: l’attività fisica eseguita contro gravità stimola l’aumento di massa ossea;
2. Esponiti al sole (con le dovute protezioni) per stimolare la produzione di vitamina D e favorire l’assorbimento del calcio 
3. Scegli una dieta varia che comprenda tutti i nutrienti: il calcio non basta, ti servono proteine, vitamine e una buona dose di collagene 😉

E tu? Segui già questi consigli? Scrivilo nei commenti 🗨️",13/10/2025,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok, Youtube",Giulia,✅ Pubblicato,Consigli
NEOGELA: 3 buone abitudini quotidiane per chi soffre di artrosi (e tu fai queste cose),Neogela,,,,12/11/2025,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok, Youtube",Giulia,💻 Da montare,Consigli
NEOGELA: 3 cattive abitudini per la tua colonna vertebrale (IN COLLAB),Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Pales - Fisioterapista,💡 Idea,Informativo
NEOGELA: Ecco come ho mantenuto stabili i miei valori di densità ossea negli ultimi 3 anni (CI VORREBBE ATTRICE),Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Consigli
NEOGELA: Lo sapevi che…  a 25 anni circa raggiungi il tuo picco di massa ossea,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Informativo
NEOGELA: Lo sapevi che… gli spinaci sono ottimi per le tue ossa,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💡 Idea,Informativo
NEOGELA: Perché le proteine sono così importanti per le ossa (IN COLLAB),Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dott.ssa Silvana Magi - Nutrizionista,💡 Idea,Informativo
"NEOGELA: 3 attività che potresti tornare a fare grazie all’integrazione di collagene ",Neogela,,,,,29/08/2025,Reel,,Saletta,"Facebook, Instagram, TikTok, Youtube",Giulia,💻 Da montare,Informativo
NEOGELA: Reel 1 da video Youtube “Osteoporosi gravidica”,Neogela,,Osteoporosi gravidica,"Se sei in gravidanza, è bene che tu ponga particolare attenzione alla quantità giornaliera di proteine che assumi. 

Il Dr. Zeggio ci spiega perché l’apporto proteico è così importante e quali fonti proteiche è possibile scegliere. 

👉 Video completo sul canale YouTube Neogela ",03/09/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dottore,✅ Pubblicato,Informativo
"NEOGELA: Reel 2 da video Youtube “Osteoporosi gravidica” ",Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Dottore,💻 Da montare,Informativo
NEOGELA: dame un grrr,Neogela,,Dame un grrrammo di collagene,"Un grrrrr…ammo di collagene non basta!
Ci vuole almeno una bustina 😉",22/09/2025,29/08/2025,Reel,,Scrivania,"Facebook, Instagram, TikTok, Youtube",Giulia,✅ Pubblicato,Trend
NEOGELA: recensione partecipante in presenza Area Test (Marisa),Neogela,,"Area Test Osteoporosi
I risultati di Marisa","Questa è la prima recensione del nostro percorso Area Test Osteoporosi da poco concluso 😊

Marisa, insieme ad altri 9 partecipanti, ha seguito un percorso completo tra integrazione, consigli alimentari e indicazioni sull’attività fisica per 6 mesi. 

Il 27 settembre ci siamo rincontrati per ripetere il BES Test, l’esame che valuta l’osso dal punto di vista della qualità elastica, e vedere i risultati 👀

Ecco cosa ha ottenuto Marisa e come si è trovata in questo percorso 💙",09/10/2025,27/09/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Cliente,✅ Pubblicato,Differenziazione
NEOGELA: carosello “Come agisce il collagene,Neogela,,✅,"Come fa il collagene una volta ingerito ad arrivare alle ossa? 🤔

Il collagene assunto in forma idrolizzata, ossia scisso in frammenti più piccoli, viene digerito in modo efficace dal nostro organismo: passa il tratta gastrico fino ad arrivare all’intestino dove viene spezzettato nei suoi componenti, gli amminoacidi. 🧬

Questi amminoacidi possono poi entrare in circolo ed essere trasportati direttamente alle cellule ossee che li utilizzeranno per ricostruire le catene di collagene e riparare i tessuti. 💪

La cosa importante? È scegliere il giusto collagene. 
Scorri e scopri l’offerta speciale per il mese dell’Osteoporosi e prova il kit di integrazione completa per le ossa 💙",14/10/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: carosello “Come sono formate le ossa”,Neogela,,✅,"Sai di cosa si compongono le tue ossa? 🧐
Non tutti sanno che le ossa sono composte da due parti: l’osso trabecolare (la parte interna) e l’osso corticale (la parte esterna). 

Queste due parti si distinguono per la loro struttura e composizione. 
➡️ L’osso trabecolare è formato da fibre proteiche, per lo più collagene, disposte a “nido d’ape”, ossia in una struttura alveolare. 
➡️ L’osso corticale si compone invece di materia minerali, tra cui gli elementi più presenti sono calcio e fosforo. 

Conoscere la composizione delle tue ossa può aiutarti a capire cosa integrare 👉 scorri e scopri il kit di integrazione completa per le tue ossa da oggi di nuovo online in offerta speciale per il mese dell’Osteoporosi 🩺",08/10/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: storia donna con osteoporosi (Mascia),Neogela,,"Storie di osteoporosi
Mascia oppure L’esperienza di Mascia","Ecco cosa ci ha raccontato Mascia la prima volta che ci siamo incontrati.

Mascia non ci conosceva ma da tempo era alla ricerca di una soluzione alternativa per trattare la sua osteoporosi. 

Dall’ultima diagnosi più di 2 anni fa e l’indicazione di assumere farmaci è rimasto tutto in sospeso: un po’ per la scelta di non procedere con la cura farmacologica. un po’ per la mancanza di informazioni riguardo una strada alternativa. 

Ci siamo conosciuti sui social, le abbiamo chiesto se volesse condividere la sua esperienza e lei ha accettato. È venuta a trovarci, ha lasciato la sua testimonianza, ha parlato con il nostro dottore e adesso comincerà un nuovo percorso per curare questa patologia. 

E tutto questo con il nostro supporto. 

Se anche tu soffri di osteoporosi ma non sai da dove cominciare, segui la pagina e contattaci 💙",23/10/2025,16/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Cliente,🗓️ Programmato,Differenziazione
NEOGELA: contenuto per Halloween,Neogela,,Il segreto del nostro Halloween,Noi e Armando abbiamo tutto il collagene che ci serve per affrontare la notte di Halloween al meglio 🎃,31/10/2025,15/09/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Differenziazione
LYNUP: Osteoporosi vuol dire,Lynup,,✅,"La diagnosi di osteoporosi può lasciare confusi: con tante domande e dubbi su quale sia il primo passo da fare. 😥

La maggior parte delle donne che si ritrova ad affrontare l’osteoporosi non sa da dove cominciare: a chi rivolgersi, quali attività poter svolgere e quali no, come affrontare questa patologia. 

Ecco perché nella nostra pagina parliamo di salute ossea. Se cerchi maggiori informazioni e pratici consigli sull’osteoporosi seguici 💜",14/10/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: Osteoporosi vuol dire,Lynup,,✅,"“Mi sono sentita sola e confusa” 😢
Questo è quello che provano molte donne di fronte ad una diagnosi di osteoporosi. 

Nonostante sia una patologia molto diffusa, non si viene mai informati prima su cosa voglia dire soffrirne, ritrovandosi senza punti di riferimento quando si scopre inaspettatamente di esserne affetti. 

Se vuoi saperne di più su questa patologia e ricevere consigli sulla salute ossea, seguici 💜",21/10/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,
LYNUP: contenuto per Halloween,Lynup,,Dolcetto o scherzetto? Integratore perfetto (magari usiamo la schermata con la capsula sulle mani),"Se non hai più 8 anni e le ossa forti, Lynup potrebbe tornarti utile 😉 
Stasera vieni a bussare alla nostra porta 🍬",31/10/2025,15/09/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Differenziazione
NEOGELA: Episodio 1 - Iniziativa sociale - Annuncio progetto e prime sensazioni,Neogela,,,,05/11/2025,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Differenziazione
NEOGELA: Episodio 2 - Iniziativa sociale - Esami pre percorso effettuati,Neogela,,,,17/11/2025,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Differenziazione
NEOGELA: Episodio 3 - Iniziativa sociale - Inizio percorso,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Differenziazione
"NEOGELA: Episodio 4 - Iniziativa sociale - Metà percorso ",Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Differenziazione
"NEOGELA: Episodio 5 - Iniziativa sociale - Fine percorso ",Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💡 Idea,Differenziazione
NEOGELA: Episodio 6 - Iniziativa sociale - Recensione,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💡 Idea,Differenziazione
NEOGELA: esperienza cliente con Neogela - video 1,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Social proof
NEOGELA: esperienza cliente con Neogela - video 2,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Social proof
NEOGELA: esperienza cliente con Neogela - video 3,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Social proof
NEOGELA: Quando ho scoperto di avere l’osteoporosi mi sono sentita…,Neogela,,Osteoporosi: come mi sono sentita,"L’osteoporosi può farci sentire fragili, nel corpo ma anche nella testa. 

L’insicurezza, la disinformazione, il non sapere da dove cominciare. 
È quando si cambia approccio che si comincia davvero ad affrontarla. 

Con la giusta consapevolezza e strategia non solo l’osteoporosi si può contrastare, è possibile migliorare la propria quotidianità.

Seguici e scopri da dove partire: non sei sola 💙",16/10/2025,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,✅ Pubblicato,Intervista
NEOGELA: Quando ho ricevuto la diagnosi non sapevo a chi rivolgermi…,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Intervista
NEOGELA: Il mio medico non mi aveva mai consigliato di fare la MOC…,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Intervista
NEOGELA: Gli specialisti a cui mi sono rivolta mi hanno consigliato solo farmaci e nessuna alternativa…,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Intervista
NEOGELA: Ho potuto ripetere la MOC dopo anni dalla prima ed ero peggiorata molto…,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Intervista
NEOGELA: Mi sono informata online sugli effetti collaterali dei farmaci e mi sono spaventata…,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Intervista
NEOGELA: Nessuno mi aveva detto che dovevo curare anche alimentazione e movimento…,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Intervista
NEOGELA: Quando ho ricevuto la MOC non sapevo come interpretare i valori…,Neogela,,,,,29/09/2025,Reel,,Casa Michela,"Facebook, Instagram, TikTok, Youtube",Michela Bon cliente,💻 Da montare,Intervista
NEOGELA: video riassunto giornata finale Area Test,Neogela,,"Come si è concluso il progetto Area Test ","Così sì è concluso il progetto Area Test 180: 10 persone impegnate per 6 mesi in un percorso di trattamento naturale completo per l’osteoporosi. 

✅ Piano alimentare
✅ Programma di allenamento su misura
✅ Integrazione di collagene, vitamine e minerali

I risultati? Li abbiamo monitorati con esami radiografici specifici all’inizio e alla fine del percorso e presto potrete vederli tutti pubblicati sul nostro sito. 
I primi ci hanno già dato grande soddisfazione 🔝

Ringraziamo tutti gli specialisti che hanno collaborato con noi a questo progetto: 
il Dott. Daniele Zeggio, Medico referente
la Dott.ssa Silvana Magi, Biologa Nutrizionista @magi.silvana
la Dott.ssa Marcelli Pales, Fisioterapista @fisioterapiavicenza
il Dott. Davide Teggi, Chinesiologo @fitness40+ 
la Dott.ssa Alessandra Nicolosi, radiologa del Bes Test @bestest_esame

Pronti per una nuova edizione? 🧐",27/10/2025,27/09/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Differenziazione
"NEOGELA: spiegazione scientifica caratteristiche collagene ",Neogela,,,,,,Reel,https://vm.tiktok.com/ZNdbjVTLH/,,"Facebook, Instagram, TikTok, Youtube",Dottore,🎥 Da registrare,EduCollagene
LYNUP: storia per annunciare promo + invito a iscriversi alla mailing list,Lynup,,,,30/09/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Vendita
"LYNUP: promo ",Lynup,,,,07/10/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Vendita
"LYNUP: ultimi giorni di promo ",Lynup,,-,-,29/10/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,💪🏻 Da programmare,Vendita
NEOGELA: collagene in capsule vs. polvere,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
"NEOGELA: hai letto “rischio alto frattura” nella MOC? ",Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: prendo la vitamina D come faccio ad avere l’osteoporosi?,Neogela,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",Cliente,💡 Idea,
NEOGELA: creatività adv branding collagene che si scioglie,Neogela,,,,03/11/2025,29/09/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,ADS
NEOGELA: creatività adv branding collagene varie bevande,Neogela,,,,05/11/2025,29/09/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,ADS
NEOGELA: branding barattolo fisso sfondo che cambia,Neogela,,,,01/12/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,ADS
LYNUP: Chi vuol essere sano,Lynup,,,,11/11/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,Trend
"LYNUP: carosello 4 cose che non devono mancare nella tua routine ",Lynup,,,,10/11/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,🏝️ Grafica da preparare,Informativo
LYNUP: inizio Black Friday,Lynup,,,,28/11/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,🏝️ Grafica da preparare,Vendita
LYNUP: Black Friday,Lynup,,,,29/11/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,🏝️ Grafica da preparare,Vendita
"LYNUP: Black Friday ",Lynup,,,,30/11/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,🏝️ Grafica da preparare,Vendita
LYNUP: Quando ti rendi conto che…,Lynup,,,,26/11/2025,,Reel,https://www.instagram.com/reel/DHbFR6dNRyT/?igsh=bHJmZmlqdzl2ZDFh,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,Trend
NEOGELA: Storia metà promo,Neogela,,,,15/10/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: post-it sotto la scarpa,Lynup,,,,29/11/2025,16/10/2025,Reel,https://www.instagram.com/p/DOfrjGVEor_/,,"Facebook, Instagram, TikTok",,💻 Da montare,Trend
NEOGELA: quando fai il video fai vedere bene,Neogela,,,,,,Reel,https://www.instagram.com/p/DPldJIjDxWf/,,"Facebook, Instagram, TikTok",,🎥 Da registrare,Trend
LYNUP: a volte è l’integratore che ti sceglie,Lynup,,,,,,Reel,https://www.instagram.com/p/DO_seK7Dnb_/,,"Facebook, Instagram, TikTok",,💡 Idea,Trend
LYNUP: wave your finger,Lynup,,,,06/11/2025,16/10/2025,Reel,https://www.instagram.com/p/DPHFVzSjTGj/,,"Facebook, Instagram, TikTok",,💻 Da montare,Trend
LYNUP: la vitamina K2 può essere presa da tutti?,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Domande dal blog
LYNUP: capsula che si apre,Lynup,,,,,16/10/2025,Reel,,,"Facebook, Instagram, TikTok",,💻 Da montare,Trend
LYNUP: artosi e menopausa,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Informativo
LYNUP: come migliorare i sintomi dell’artrosi,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Consigli
LYNUP: artrosi e osteoporosi sono collegate?,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Informativo
"LYNUP: cosa fare a 30 anni per non avere l’osteoporosi a 50 ",Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Consigli
LYNUP: la nostra esperienza con le patologie osteoarticolari,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Aziendale
LYNUP: falso mito sulla vitamina K2,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Falso mito
LYNUP: cibi si e cibi no per le tue articolazioni,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Consigli
LYNUP: prendo gli ingredienti e li butto dentro un barattolo di Lynup enorme,Lynup,,,,,,Reel,,,"Facebook, Instagram, TikTok",,💡 Idea,Trend
"NEOGELA: Non sempre puoi fidarti delle persone, ma puoi fidarti del team Neogela (v.reference)",Neogela,,,,,27/10/2025,Reel,https://vm.tiktok.com/ZNdvuQbBr/,,"Facebook, Instagram, TikTok, Youtube","Giulia, Team",✍🏻 Script da produrre,Trend
NEOGELA: Pov: integratore che fa ringiovanire le tue ossa con audio trend (v. reference),Neogela,,,,,27/10/2025,Reel,https://vm.tiktok.com/ZNdvuW57S/,,"Facebook, Instagram, TikTok, Youtube",Team,✍🏻 Script da produrre,Trend
NEOGELA: Quanti grammi di Neogela posso prendere al giorno?,Neogela,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Giulia,✍🏻 Script da produrre,Informativo
NEOGELA: Quando è meglio assumere il collagene?,Neogela,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Giulia,✍🏻 Script da produrre,Informativo
NEOGELA: Come si conserva Neogela e quanto dura?,Neogela,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Giulia,✍🏻 Script da produrre,Informativo
NEOGELA: perché prendi il collagene se sei così giovane?,Neogela,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Team,✍🏻 Script da produrre,Falso mito
NEOGELA: chissà quanti allergeni ci sono nei vostri integratori,Neogela,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Giulia,✍🏻 Script da produrre,Falso mito
NEOGELA: prodotto in promo per Black Friday,Neogela,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",Giulia,✍🏻 Script da produrre,ADS
NEOGELA: Campagna branding,Neogela,,,,06/11/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,ADS
NEOGELA: campagna vendita novembre,Neogela,,,,06/11/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,ADS
NEOGELA: campagna BF,Neogela,,,,27/11/2025 → 01/12/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,ADS
NEOGELA: Carosello - 5 segnali che le tue ossa hanno bisogno di supporto,Neogela,,,,07/11/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,🏝️ Grafica da preparare,Informativo
NEOGELA: Carosello: hai questi risultati in moc? prova questi prodotti Neogela,Neogela,,,,14/11/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Informativo
NEOGELA: Carosello: errori alimentari per l’osteoporosi,Neogela,,,,21/11/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Informativo
NEOGELA: Carosello - 5 miti sul collagene,Neogela,,,,26/11/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Informativo